iter	Logloss
0	0.640469296
1	0.602583152
2	0.559403174
3	0.5246806084
4	0.4949557147
5	0.4702175221
6	0.4486994619
7	0.4308818833
8	0.418717963
9	0.4038747796
10	0.3901867315
11	0.3777263915
12	0.3660768662
13	0.3558087441
14	0.3420410671
15	0.3313924154
16	0.3202703935
17	0.3130388091
18	0.3077209215
19	0.302507283
20	0.2966484231
21	0.2926636257
22	0.2885789831
23	0.2834489138
24	0.2809290117
25	0.2779732877
26	0.2744443483
27	0.270336193
28	0.2671886846
29	0.2633565782
30	0.2612689441
31	0.2586859466
32	0.2561187615
33	0.2536452668
34	0.2515193376
35	0.2490817686
36	0.2477625078
37	0.2461174945
38	0.2451996236
39	0.2433447472
40	0.2416276763
41	0.2405469162
42	0.2394710492
43	0.2380129271
44	0.2368229733
45	0.2357534932
46	0.2346190119
47	0.2336975613
48	0.2331218736
49	0.232107119
50	0.2314139451
51	0.230484614
52	0.2294622622
53	0.228202749
54	0.2272972397
55	0.2266239987
56	0.2258499596
57	0.2253218639
58	0.2245847549
59	0.2240594405
60	0.2236837266
61	0.2229208387
62	0.2220178789
63	0.221408815
64	0.2209211003
65	0.2204266126
66	0.2198385891
67	0.2195048787
68	0.2189342901
69	0.2185724315
70	0.217928575
71	0.2173353235
72	0.2166983431
73	0.2162232991
74	0.2158766477
75	0.2151604375
76	0.2148298948
77	0.2144751826
78	0.2139420135
79	0.2137242571
80	0.2133381131
81	0.2130906503
82	0.2127874704
83	0.2124229206
84	0.2122366475
85	0.2117140372
86	0.2113285628
87	0.2109564029
88	0.2105913895
89	0.2103019618
90	0.2098365108
91	0.2095277939
92	0.2092874648
93	0.2090012691
94	0.2086306415
95	0.2083096275
96	0.2080252861
97	0.2077987478
98	0.2075239866
99	0.2073953749
100	0.2071287775
101	0.2067819459
102	0.2063978235
103	0.2060978628
104	0.2058556279
105	0.205482322
106	0.2050906797
107	0.204805218
108	0.2044749972
109	0.2043058114
110	0.2040882223
111	0.2037882487
112	0.2034910307
113	0.2033550021
114	0.2031992981
115	0.2029617631
116	0.2026423845
117	0.2023422306
118	0.2021107863
119	0.2019865398
120	0.2017770244
121	0.2015384207
122	0.2013614445
123	0.2011797941
124	0.2010882028
125	0.2008292283
126	0.2006398133
127	0.2004037334
128	0.2002299763
129	0.2000187226
130	0.1997849348
131	0.1994802225
132	0.1993006839
133	0.1990991134
134	0.1988467703
135	0.1986059261
136	0.1983999775
137	0.1981463984
138	0.1980322729
139	0.1976975324
140	0.1975469533
141	0.197297868
142	0.1970500447
143	0.1968085953
144	0.1965994533
145	0.1963499689
146	0.1961569227
147	0.1959765986
148	0.1956457339
149	0.1954140192
150	0.1951688485
151	0.1950377903
152	0.1947406624
153	0.1945480669
